# ID_REF	IDENTIFIER	Gene title	Gene symbol	Gene ID	GenBank Accession
1000_at	MAPK3	mitogen-activated protein kinase 3	MAPK3	5595	X60188
1001_at	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	TIE1	7075	X60957
1002_f_at	CYP2C19	cytochrome P450 family 2 subfamily C member 19	CYP2C19	1557	X65962
1003_s_at	CXCR5	C-X-C motif chemokine receptor 5	CXCR5	643	X68149
1004_at	CXCR5	C-X-C motif chemokine receptor 5	CXCR5	643	X68149
1005_at	DUSP1	dual specificity phosphatase 1	DUSP1	1843	X68277
1006_at	MMP10	matrix metallopeptidase 10	MMP10	4319	X07820
1007_s_at	MIR4640	microRNA 4640///discoidin domain receptor tyrosine kinase 1	MIR4640///DDR1	100616237///780	U48705
1008_f_at	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	EIF2AK2	5610	AH006648
1009_at	HINT1	histidine triad nucleotide binding protein 1	HINT1	3094	U51004
100_g_at	RABGGTA	Rab geranylgeranyltransferase alpha subunit	RABGGTA	5875	Y08200
1010_at	MAPK11	mitogen-activated protein kinase 11	MAPK11	5600	U53442
1011_s_at	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	YWHAE	7531	U54778
1012_at	KAT2B	lysine acetyltransferase 2B	KAT2B	8850	U57317
1013_at	SMAD5	SMAD family member 5	SMAD5	4090	U59913
1014_at	POLG	DNA polymerase gamma, catalytic subunit	POLG	5428	U60325
1015_s_at	LIMK1	LIM domain kinase 1	LIMK1	3984	U62293
1016_s_at	IL13RA2	interleukin 13 receptor subunit alpha 2	IL13RA2	3598	U70981
1017_at	MSH6	mutS homolog 6	MSH6	2956	AH005068
1018_at	WNT10B	Wnt family member 10B	WNT10B	7480	U81787
1019_g_at	WNT10B	Wnt family member 10B	WNT10B	7480	U81787
101_at	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	DYRK4	8798	Y09305
1020_s_at	CIB1	calcium and integrin binding 1	CIB1	10519	U85611
1021_at	IFNG	interferon gamma	IFNG	3458	J00219
1022_f_at	IFNA14	interferon alpha 14	IFNA14	3448	V00542
1023_at	EPO	erythropoietin	EPO	2056	X02158
1024_at	CYP1A1	cytochrome P450 family 1 subfamily A member 1	CYP1A1	1543	X02612
1025_g_at	CYP1A1	cytochrome P450 family 1 subfamily A member 1	CYP1A1	1543	X02612
1026_s_at	COL11A2	collagen type XI alpha 2 chain	COL11A2	1302	
1027_at	COL11A2	collagen type XI alpha 2 chain	COL11A2	1302	
1028_at	TOP3A	topoisomerase (DNA) III alpha	TOP3A	7156	U43431
1029_s_at	TXK	TXK tyrosine kinase	TXK	7294	AH000846
102_at	HIPK3	homeodomain interacting protein kinase 3	HIPK3	10114	Y09306
1030_s_at	TOP1	topoisomerase (DNA) I	TOP1	7150	U07806
1031_at	SRPK1	SRSF protein kinase 1	SRPK1	6732	U09564
1032_at	CXCR2	C-X-C motif chemokine receptor 2	CXCR2	3579	U11872
1033_g_at	CXCR2	C-X-C motif chemokine receptor 2	CXCR2	3579	U11872
1034_at	TIMP3	TIMP metallopeptidase inhibitor 3	TIMP3	7078	U14394
1035_g_at	TIMP3	TIMP metallopeptidase inhibitor 3	TIMP3	7078	U14394
1036_at	IL15	interleukin 15	IL15	3600	U14407
1037_at	BAGE	B melanoma antigen	BAGE	574	U19180
1038_s_at	IFNGR1	interferon gamma receptor 1	IFNGR1	3459	AH006710
1039_s_at	HIF1A	hypoxia inducible factor 1 alpha subunit	HIF1A	3091	U22431
103_at	THBS4	thrombospondin 4	THBS4	7060	Z19585
1040_s_at	ABI2	abl-interactor 2	ABI2	10152	U23435
1041_at	EFNA5	ephrin A5	EFNA5	1946	U26403
1042_at	RARRES1	retinoic acid receptor responder 1	RARRES1	5918	U27185
1043_s_at	RAD52	RAD52 homolog, DNA repair protein	RAD52	5893	U27516
1044_s_at	E2F5	E2F transcription factor 5	E2F5	1875	U31556
1045_s_at	RELA	RELA proto-oncogene, NF-kB subunit	RELA	5970	U33838
1046_at	IFIT5	interferon induced protein with tetratricopeptide repeats 5	IFIT5	24138	U34605
1047_s_at	LOC102724562	macrophage stimulating 1 pseudogene///macrophage stimulating 1 like///macrophage stimulating 1 pseudogene 2///macrophage stimulating 1	LOC102724562///MST1L///MST1P2///MST1	102724562///11223///11209///4485	U37055
1048_at	RXRG	retinoid X receptor gamma	RXRG	6258	U38480
1049_g_at	RXRG	retinoid X receptor gamma	RXRG	6258	U38480
104_at	POU6F1	POU class 6 homeobox 1	POU6F1	5463	Z21966
1050_at	MLANA	melan-A	MLANA	2315	U06452
1051_g_at	MLANA	melan-A	MLANA	2315	U06452
1052_s_at	CEBPD	CCAAT/enhancer binding protein delta	CEBPD	1052	M83667
1053_at	RFC2	replication factor C subunit 2	RFC2	5982	M87338
1054_at	RFC4	replication factor C subunit 4	RFC4	5984	M87339
1055_g_at	RFC4	replication factor C subunit 4	RFC4	5984	M87339
1056_s_at	IL16	interleukin 16	IL16	3603	M90391
1057_at	CRABP2	cellular retinoic acid binding protein 2	CRABP2	1382	M97815
1058_at	WASF3	WAS protein family member 3	WASF3	10810	S69790
1059_at	NTRK3	neurotrophic receptor tyrosine kinase 3	NTRK3	4916	S76475
105_at	NR1I3	nuclear receptor subfamily 1 group I member 3	NR1I3	9970	Z30425
1060_g_at	NTRK3	neurotrophic receptor tyrosine kinase 3	NTRK3	4916	S76475
1061_at	IL10RA	interleukin 10 receptor subunit alpha	IL10RA	3587	U00672
1062_g_at	IL10RA	interleukin 10 receptor subunit alpha	IL10RA	3587	U00672
